,反应物,生成物
0,2 Li2CO3 + 5 TiO2 ,1 Li4Ti5O12 + 2 CO2
1,1 NH4H2PO4 + 4.5 Nb2O5 ,1 PNb9O25 + 1.5 H2O + 1 NH3
2,x FeOOH + 1 LiOH\u00b7H2O + 2-x MnCO3 + 0.75-0.25*x O2 ,1 LiFexMn2-xO4 + 2-x CO2 + 1.5+0.5*x H2O
3,1 LiOH + 0.95 Ni(OH)2 + 0.225 O2 + 0.05 TiO2 ,1 LiNi0.95Ti0.05O2 + 1.45 H2O
4,0.1 Ca(NO3)2 + 1 Fe(NO3)3\u00b79H2O + 0.475 O2 + 0.9 Y(NO3)\u00b76H2O + 4.1 [OH-] ,1 Y0.9Ca0.1FeO3 + 16.45 H2O + 4.1 [NO3-]
5,1 Al(NO3)3\u00b79H2O + 1 LiNO3 + 4 [OH-] ,1 LiAlO2 + 11 H2O + 4 [NO3-]
6,0.333 Co3O4 + 0.5-0.5*x Nd2O3 + 0.083+0.25*x O2 + x SrCO3 ,1 Nd1-xSrxCoO3 + x CO2
7,0.5 Co2O3 + 0.1 Pr6O11 + 0.4 SrCO3 ,1 Pr0.6Sr0.4CoO3 + 0.4 CO2
8,0.5 Co2O3 + 0.3 Gd2O3 + 0.1 O2 + 0.4 SrCO3 ,1 Gd0.6Sr0.4CoO3 + 0.4 CO2
9,2 Li2CO3 + 5 TiO2 ,1 Li4Ti5O12 + 2 CO2
10,1 LiOH + 2 MnO2 ,1 LiMn2O4 + 0.5 H2O + 0.25 O2
11,0.5*x La2O3 + 0.038 O2 + 0.5 V2O5 + 0.475-0.5*x Y2O3 ,1 Y0.95-xLaxVO4 ; target Y0.95-xLaxVO4 with additives Eu via Eu2O3 ; target Y0.95-xLaxVO4 with additives Eu via Eu2O3
12,0.038 O2 + 0.5 V2O5 + 0.475 Y2O3 ,1 Y0.95VO4 ; target Y0.95VO4 with additives Eu via Eu2O3 ; target Y0.95VO4 with additives Eu via Eu2O3
13,2 LiOH\u00b7H2O + 1 TiO2 ,1 Li2TiO3 + 3 H2O
14,4 LiOH\u00b7H2O + 5 TiO2 ,1 Li4Ti5O12 + 6 H2O
15,1 LiNO3 + 2 MnO2 + 1 [OH-] ,1 LiMn2O4 + 0.5 H2O + 0.25 O2 + 1 [NO3-]
16,0.5 Li2CO3 + 2 Ni0.25Mn0.75CO3 + 0.75 O2 ,1 LiNi0.5Mn1.5O4 + 2.5 CO2
17,3 (NH4)2HPO4 + 0.5 Sm2O3 + 3 SrCO3 ,1 Sr3Sm(PO4)3 + 3 CO2 + 4.5 H2O + 6 NH3
18,z Al(NO3)3\u00b79H2O + 0.333-z Co(NO3)2\u00b76H2O + 1 LiOH\u00b7H2O + 0.333 Mn(NO3)2\u00b74H2O + 0.333 Ni(NO3)2\u00b76H2O + 0.25-0.25*z O2 + 1.998+z [OH-] ,1 Li(Ni1/3Mn1/3Co1/3-zAlz)O2 + 7.827+3.5*z H2O + 1.998+z [NO3-]
19,2-x Ba(NO3)2 + 0.5*x Eu2O3 + 2 H3BO3 + 1 Mg(NO3)2\u00b72H2O + 6-2*x [OH-] ,1 EuxBa2-xMg(BO3)2 + 8-x H2O + 0.25*x O2 + 6-2*x [NO3-]
